episode,team_id,team_name,value_pick,synergy,late_bonus,panic_penalty,block_reward,waste_penalty,balance_bonus,season_total,transfer_total,TOTAL,budget_wasted_cr,final_position,squad_balance_score
36,KKR,KKR,1100.6071,474.0,0.0,0.0,190.0,0.0,15.0,70.0,0.0,1849.6071,43.8,7,1.0
36,DC,DC,1505.3392,492.0,0.0,0.0,170.0,0.0,-5.0,150.0,0.0,2312.3392,46.8,3,0.9375
36,RR,RR,1181.5956,135.0,0.0,0.0,70.0,-10.0,-5.0,215.0,0.0,1586.5956,78.8,1,0.4375
36,PBKS,PBKS,1043.3859,453.0,0.0,0.0,130.0,0.0,15.0,105.0,0.0,1746.3859,48.0,5,1.0
36,SRH,SRH,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,300.0,0.0,295.0,59.8,2,0.625
35,MI,MI,462.6555,522.0,0.0,0.0,200.0,0.0,-5.0,135.0,0.0,1314.6555,0.18,4,0.6875
35,CSK,CSK,1429.9048,87.0,0.0,0.0,80.0,-10.0,-5.0,105.0,0.0,1686.9048,80.7,6,0.5625
35,RCB,RCB,532.233,612.0,0.0,0.0,200.0,0.0,-5.0,40.0,0.0,1379.233,0.05,8,0.8125
35,KKR,KKR,1100.6071,474.0,0.0,0.0,190.0,0.0,15.0,70.0,0.0,1849.6071,43.8,7,1.0
35,DC,DC,1505.3392,492.0,0.0,0.0,170.0,0.0,-5.0,150.0,0.0,2312.3392,46.8,3,0.9375
35,RR,RR,1181.5956,135.0,0.0,0.0,70.0,-10.0,-5.0,215.0,0.0,1586.5956,78.8,1,0.4375
35,PBKS,PBKS,1043.3859,453.0,0.0,0.0,130.0,0.0,15.0,105.0,0.0,1746.3859,48.0,5,1.0
35,SRH,SRH,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,300.0,0.0,295.0,59.8,2,0.625
26,MI,MI,494.0498,633.0,0.0,0.0,190.0,0.0,-5.0,75.0,0.0,1387.0498,0.1,6,0.8125
26,CSK,CSK,1737.6076,210.0,0.0,0.0,110.0,-10.0,-5.0,25.0,0.0,2067.6076,74.2,8,0.75
26,RCB,RCB,599.1591,717.0,0.0,0.0,210.0,0.0,-5.0,230.0,0.0,1751.1591,0.04,2,0.4375
26,KKR,KKR,1315.2839,438.0,0.0,0.0,180.0,0.0,-5.0,55.0,0.0,1983.2839,47.5,7,0.625
26,DC,DC,1816.1893,489.0,0.0,0.0,180.0,0.0,15.0,265.0,0.0,2765.1893,57.2,3,1.0
26,RR,RR,733.6165,75.0,0.0,0.0,70.0,-10.0,-5.0,90.0,0.0,953.6165,75.7,5,0.75
26,PBKS,PBKS,778.3043,378.0,0.0,0.0,140.0,0.0,15.0,135.0,0.0,1446.3043,50.0,4,1.0
26,SRH,SRH,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,245.0,0.0,230.0,68.6,1,0.9375
25,MI,MI,494.0498,633.0,0.0,0.0,190.0,0.0,-5.0,75.0,0.0,1387.0498,0.1,6,0.8125
25,CSK,CSK,1737.6076,210.0,0.0,0.0,110.0,-10.0,-5.0,25.0,0.0,2067.6076,74.2,8,0.75
25,RCB,RCB,599.1591,717.0,0.0,0.0,210.0,0.0,-5.0,230.0,0.0,1751.1591,0.04,2,0.4375
25,KKR,KKR,1315.2839,438.0,0.0,0.0,180.0,0.0,-5.0,55.0,0.0,1983.2839,47.5,7,0.625
25,DC,DC,1816.1893,489.0,0.0,0.0,180.0,0.0,15.0,265.0,0.0,2765.1893,57.2,3,1.0
25,RR,RR,733.6165,75.0,0.0,0.0,70.0,-10.0,-5.0,90.0,0.0,953.6165,75.7,5,0.75
25,PBKS,PBKS,778.3043,378.0,0.0,0.0,140.0,0.0,15.0,135.0,0.0,1446.3043,50.0,4,1.0
25,SRH,SRH,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,245.0,0.0,230.0,68.6,1,0.9375
